fact, name, valid_at
"Freqtrade ping needs verification of auth response", "NEEDS_VERIFICATION_OF_AUTH_RESPONSE", "2026-03-17T00:27:09Z"
"FreeSWITCH is a VoIP/telephony platform", "IS_PLATFORM_FOR", "2026-03-17T01:24:55Z"
"FreeSWITCH is used for EventVikings predictive dialer", "IS_USED_BY", "2026-03-17T01:24:55Z"
"FreeSWITCH knowledge is documented in knowledge/freeswitch.md", "DOCUMENTED_IN", "2026-03-17T01:24:55Z"
"knowledge/freeswitch.md covers architecture", "COVERS", "2026-03-17T01:24:55Z"
"knowledge/freeswitch.md covers mod_dialer", "COVERS", "2026-03-17T01:24:55Z"
"knowledge/freeswitch.md covers Event Socket integration", "COVERS", "2026-03-17T01:24:55Z"
"knowledge/freeswitch.md covers CLI commands", "COVERS", "2026-03-17T01:24:55Z"
"knowledge/freeswitch.md covers predictive dialing flow", "COVERS", "2026-03-17T01:24:55Z"
"FreeSWITCH proficiency updated from unknown to basic in KNOWLEDGE-MAP.md", "PROFICIENCY_UPDATED_IN", "2026-03-17T01:24:55Z"
"The assistant marked the pricing A/B test framework task as skipped due to lack of API access.", "IS_MARKED_AS_SKIPPED", "2026-03-17T01:26:09Z[UTC]"
"Railway auth verified (support@zer0daylabs.com)", "AUTH_VERIFIED", "2026-03-17T01:27:09Z"
"Vercel auth configured (support-9645)", "AUTH_CONFIGURED", "2026-03-17T01:27:09Z"
"Vercel ↔ Railway DB integration pending manual execution", "INTEGRATION_PENDING", "2026-03-17T01:27:09Z"
"Set up Sentry/PostHog monitoring pending manual execution", "MONITORING_SETUP_PENDING", "2026-03-17T01:27:09Z"
"The pricing A/B test framework task is blocked and marked as skipped to move to Task #62 - Analyze Freqtrade bot performance.", "IS_BLOCKED_DUE_TO_MISSING_API_ACCESS", "2026-03-17T02:21:20Z"
"The pricing A/B test framework is blocked because it requires PostHog API access.", "IS_BLOCKED_BY", "2026-03-17T03:17:30Z[UTC]"
"Graphiti API is unavailable and Neo4j via Graphiti is not tested because it depends on Graphiti being up", "API_UNAVAILABLE", "2026-03-17T04:26:57Z"
"Freqtrade API is responding with pong", "API_RESPONDING", "2026-03-17T04:26:57Z"
"Ollama has 10 models loaded including qwen3.5:35b and nemotron-3-super", "MODELS_LOADED", "2026-03-17T04:26:57Z"
"The browser is logged in as a support account for Vercel.", "LOGGED_IN_AS", "2026-03-17T13:01:42Z"
"Vercel deployments are inaccessible because the browser session is logged in as support account instead of main account.", "ACCESS_ISSUE_DUE_TO_ACCOUNT", "2026-03-17T13:01:42Z"
"MusicGen is a duplicate of zer0daylabs/MusicGen", "IS_DUPLICATE_OF", "2026-03-17T13:01:42.884982Z"
"AudioStudio is a duplicate of zer0daylabs/AudioStudio", "IS_DUPLICATE_OF", "2026-03-17T13:01:42.884982Z"
"Vercel is a duplicate of Vercel team zer0day", "IS_DUPLICATE_OF", "2026-03-17T13:01:42.884982Z"
"Heartbeat #12 complete, recorded by assistant", "RECORDED_BY", "2026-03-17T15:18:19Z"
"Graphiti service is down due to Docker service issue", "HAS_ISSUE_WITH", "2026-03-17T15:18:19Z"
"Report sent to Lauro about critical service outage with Graphiti", "REPORTED_TO", "2026-03-17T15:18:19Z"
